cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://cccrafter.com/padron-1964-anniversary-diplomat-maduro-50-x-7/?srsltid=AfmBOoqmfxYjt_zyqODJzl-gc0i30buBieA2-cTZN1VW8KyFwSmAR_I5,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,431.99,True,
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://cccrafter.com/romeo-y-julieta-1875-churchill-cigar-50-x-7/,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,199.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://cccrafter.com/arturo-fuente-hemingway-natural-classic-7-x-46/?searchid=0&search_query=hemingway,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,330.0,True,
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|MAD|BOX25,Corona,https://cccrafter.com/padron-1964-corona-maduro-anniversary-series-42-x-6-box-of-25-cigars/?searchid=0&search_query=1964+,Padron,1964 Anniversary,Maduro,Corona,6x42,25,354.99,True,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|NAT|BOX24,No. 9,https://cccrafter.com/padron-1926-no-9-natural-56-x-5/?searchid=0&search_query=1926,Padron,1926 Serie,Natural,No. 9,5.25x56,24,557.0,True,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|MAD|BOX24,No. 9,https://cccrafter.com/padron-1926-no-9-maduro-56-x-5/?searchid=0&search_query=1926,Padron,1926 Serie,Maduro,No. 9,5.25x56,24,556.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://cccrafter.com/arturo-fuente-hemingway-natural-short-story-4-x-42-49-cigars/?searchid=0&search_query=short+story,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,219.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|MAD|BOX25,Short Story,https://cccrafter.com/arturo-fuente-hemingway-maduro-short-story-perfecto-4-x-49-box-of-25/,Arturo Fuente,Hemingway,Maduro,Short Story,4x49,25,179.99,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://cccrafter.com/arturo-fuente-hemingway-natural-work-of-art-4-x-46-60/?searchid=0&search_query=work+of+art,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,306.63,True,
ASHTON|ASHTON|VSG|ILLUSION|ILLUSION|6x54|ECU|BOX24,Illusion,https://cccrafter.com/ashton-virgin-sun-grown-illusion-cigar-6-x-44/?searchid=0&search_query=illusion,Ashton,VSG,Ecuadorian Sun Grown,Illusion,6x54,24,269.99,True,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|ROBUSTO|ROBUSTO|5x54|CON|BOX24,Robusto,https://cccrafter.com/liga-privada-no-9-robusto-5-x-54-cigars/?searchid=0&search_query=liga+privada+no.,Drew Estate,Liga Privada No. 9,Connecticut Broadleaf Oscuro,Robusto,5x54,24,369.99,False,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|SHORTPANATELA|SHORTPANATELA|4.5x40|CON|BOX24,Short Panatela,https://cccrafter.com/liga-privada-no-9-short-panetela-4-x-40/?searchid=0&search_query=liga+privada+no.,Drew Estate,Liga Privada No. 9,Connecticut Broadleaf Oscuro,Short Panatela,4.5x40,24,240.0,False,
OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|ECU|BOX24,Torpedo,https://cccrafter.com/oliva-serie-v-torpedo-6-x-56-box-pack-single/?searchid=0&search_query=serie+v,Oliva,Serie V,Ecuadorian Habano,Torpedo,6.5x52,24,311.99,True,
OLIVA|OLIVA|SERIEV|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|ECU|BOX24,Double Robusto,https://cccrafter.com/oliva-serie-v-doble-robusto-5-x-54/?searchid=0&search_query=serie+v,Oliva,Serie V,Ecuadorian Habano,Double Robusto,5x54,24,263.99,True,
OLIVA|OLIVA|SERIEV|CHURCHILLEXTRA|CHURCHILLEXTRA|7x48|ECU|BOX24,Churchill Extra,https://cccrafter.com/oliva-serie-v-churchill-extra-7-x-52/?searchid=0&search_query=serie+v,Oliva,Serie V,Ecuadorian Habano,Churchill Extra,7x48,24,269.99,True,
OLIVA|OLIVA|SERIEV|DOUBLETORO|DOUBLETORO|6x60|ECU|BOX24,Double Toro,https://cccrafter.com/oliva-serie-v-doble-toro-6-x-60-box-pack-and-single/?searchid=0&search_query=serie+v,Oliva,Serie V,Ecuadorian Habano,Double Toro,6x60,24,323.99,True,
MACANUDO|MACANUDO|CAFE|HYDEPARK|HYDEPARK|5.5x49|CT|BOX25,Hyde Park,https://cccrafter.com/macanudo-cafe-hyde-park-5-x-49/?searchid=0&search_query=cafe,Macanudo,Cafe,Connecticut Shade,Hyde Park,5.5x49,25,212.4,True,
MACANUDO|MACANUDO|CAFE|HAMPTONCOURT|HAMPTONCOURT|5.25x42|CT|BOX25,Hampton Court,https://cccrafter.com/macanudo-cafe-hampton-court-5-x-42/?searchid=0&search_query=cafe,Macanudo,Cafe,Connecticut Shade,Hampton Court,5.25x42,25,227.5,True,
MACANUDO|MACANUDO|CAFE|PORTOFINO|PORTOFINO|7x34|CT|BOX25,Portofino,https://cccrafter.com/macanudo-cafe-portofino-7-x-34-tubes/?searchid=0&search_query=cafe,Macanudo,Cafe,Connecticut Shade,Portofino,7x34,25,219.5,True,
CAO|CAO|FLATHEAD|V660CARB|V660CARB|6x60|CT|BOX24,V660 Carb,https://cccrafter.com/cao-flathead-v660-carb-6-x-60-cigars/?searchid=0&search_query=flathead,CAO,Flathead,Connecticut Broadleaf,V660 Carb,6x60,24,219.99,True,
CAO|CAO|FLATHEAD|V770BIGBLOCK|V770BIGBLOCK|7x70|CT|BOX24,V770 Big Block,https://cccrafter.com/cao-flathead-v770-big-block-7-x-70-cigars/?searchid=0&search_query=flathead,CAO,Flathead,Connecticut Broadleaf,V770 Big Block,7x70,24,229.99,True,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|ROBUSTO|ROBUSTO|5x54|SAN|BOX25,Robusto,https://cccrafter.com/undercrown-maduro-robusto-5-x-54-cigars/?searchid=0&search_query=undercrown+maduro,Drew Estate,Undercrown Maduro,San Andres,Robusto,5x54,25,175.99,True,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|BELICOSO|BELICOSO|6x52|SAN|BOX25,Belicoso,https://cccrafter.com/undercrown-belicoso-6-x-52-box-of-25-cigars/?searchid=0&search_query=undercrown+maduro,Drew Estate,Undercrown Maduro,San Andres,Belicoso,6x52,25,189.0,False,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GRANTORO|GRANTORO|6x52|SAN|BOX25,Gran Toro,https://cccrafter.com/undercrown-maduro-gran-toro-6-x-52-cigars/?searchid=0&search_query=undercrown+maduro,Drew Estate,Undercrown Maduro,San Andres,Gran Toro,6x52,25,211.99,True,
