cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.anrdoezrs.net/click-101532120-13758898?url=https%3A%2F%2Fwww.gothamcigars.com%2Fromeo-y-julieta-1875-churchill%2F%3Fsku%3DRJCHUR&cjsku=456,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,196.99,True,
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,Grand Robusto,https://www.gothamcigars.com/my-father-mf-the-judge-grande-robusto/,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,268.99,False,
COHIBA||REDDOT|ROBUSTO|ROBUSTO|5x49|CAM|BOX25,Robusto,https://www.anrdoezrs.net/click-101532120-13758898?url=https%3A%2F%2Fwww.gothamcigars.com%2Fcohiba-robusto%2F%3Fsku%3DCOHROB&cjsku=5987,Cohiba,Red Dot,Cameroon,Robusto,5x49,25,251.76,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,Exclusivo,https://www.kqzyfj.com/click-101532120-13758898?url=https%3A%2F%2Fwww.gothamcigars.com%2Fpadron-1964-anniversary-exclusivo-natural%2F&cjsku=8200,Padron,1964 Anniversary,Natural,Exclusivo,5.5x50,25,389.99,False,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,Exclusivo,https://www.dpbolvw.net/click-101532120-13758898?url=https%3A%2F%2Fwww.gothamcigars.com%2Fpadron-1964-anniversary-exclusivo-maduro%2F%3Fsku%3DPADAEXM&cjsku=668,Padron,1964 Anniversary,Maduro,Exclusivo,5.5x50,25,388.99,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://www.jdoqocy.com/click-101532120-13758898?url=https%3A%2F%2Fwww.gothamcigars.com%2Fpadron-1964-anniversary-principe-maduro%2F%3Fsku%3DPADAPRM&cjsku=665,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,333.99,True,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|NAT|BOX24,No. 9,https://www.anrdoezrs.net/click-101532120-13758898?url=https%3A%2F%2Fwww.gothamcigars.com%2Fpadron-1926-series-no-9-natural%2F%3Fsku%3DPAD26NO9&cjsku=5630,Padron,1926 Serie,Natural,No. 9,5.25x56,24,562.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.tkqlhce.com/click-101532120-13758898?url=https%3A%2F%2Fwww.gothamcigars.com%2Farturo-fuente-hemingway-short-story%2F%3Fsku%3DAFHSS&cjsku=5466,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,159.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://www.gothamcigars.com/arturo-fuente-hemingway-work-of-art/,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,255.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://www.kqzyfj.com/click-101532120-13758898?url=https%3A%2F%2Fwww.gothamcigars.com%2Farturo-fuente-hemingway-best-seller%2F%3Fsku%3DAFHBS&cjsku=5465,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,189.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.jdoqocy.com/click-101532120-13758898?url=https%3A%2F%2Fwww.gothamcigars.com%2Farturo-fuente-hemingway-classic%2F%3Fsku%3DAFHC&cjsku=4046,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,260.99,True,
