cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|MAD|BOX25,Best Seller,https://cigarhustler.com/arturo-fuente-hemingway-c-1_178/arturo-fuente-hemingway-best-seller-maduro-perfecto-cigar-box-p-7930.html,Arturo Fuente,Hemingway,Maduro,Best Seller,4.5x55,25,271.0,False,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://cigarhustler.com/padron-1964-anniversary-maduro-c-1_257/padron-1964-anniversary-diplomatico-maduro-cigar-box-p-501.html,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,467.5,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,Between the Lines,https://cigarhustler.com/arturo-fuente-hemingway-c-1_178/arturo-fuente-hemingway-between-the-lines-perfecto-cigar-box-p-4177.html,Arturo Fuente,Hemingway,Cameroon,Between the Lines,4.5x54,25,568.0,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://cigarhustler.com/arturo-fuente-hemingway-c-1_178/arturo-fuente-hemingway-classic-v-natural-cigar-box-p-4927.html,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,314.88,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|MAD|BOX25,Signature,https://cigarhustler.com/arturo-fuente-hemingway-c-1_178/arturo-fuente-hemingway-signature-i-maduro-cigar-box-p-4933.html,Arturo Fuente,Hemingway,Maduro,Signature,6x46,25,342.0,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://cigarhustler.com/arturo-fuente-hemingway-c-1_178/arturo-fuente-hemingway-signature-i-natural-cigar-box-p-4936.html,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,288.75,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://cigarhustler.com/arturo-fuente-hemingway-c-1_178/arturo-fuente-hemingway-short-story-natural-perfecto-cigar-bx-p-415.html,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,194.78,True,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|NAT|BOX24,No. 9,https://cigarhustler.com/padron-1926-series-natural-c-1_95/padron-1926-no-9-natural-robusto-gordo-cigar-box-p-8796.html,Padron,1926 Serie,Natural,No. 9,5.25x56,24,574.8,False,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|MAD|BOX24,No. 9,https://cigarhustler.com/padron-1926-series-maduro-c-1_256/padron-1926-no-9-maduro-robusto-gordo-cigar-box-p-486.html,Padron,1926 Serie,Maduro,No. 9,5.25x56,24,574.8,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX29,Robusto,https://cigarhustler.com/unicorns-from-the-vault-c-601/fuente-fuente-opusx-robusto-cigar-box-of-29-p-5141.html,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,29,3190.0,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.4|PERFECXIONNO.4|5.1875x43|DOM|BOX42,PerfecXion No. 4,https://cigarhustler.com/unicorns-from-the-vault-c-601/fuente-fuente-opus-x-perfecxion-no-4-cigar-box-p-5136.html,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion No. 4,5.1875x43,42,4200.0,True,
