cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
HOYODEMONTERREY|HOYODEMONTERREY|EXCALIBUR|EPICURE|EPICURE|5.25x50|CT|BOX20,Epicure,https://absolutecigars.com/product/hoyo-de-monterrey-excalibur-epicure-natural/,Hoyo de Monterrey,Excalibur,Connecticut Shade,Epicure,5.25x50,20,203.0,True,
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://absolutecigars.com/product/romeo-y-julieta-churchill/,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,234.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://absolutecigars.com/product/bestseller-cigars/,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,234.0,False,
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://absolutecigars.com/product/ashton-vsg-robusto/,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,356.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://absolutecigars.com/product/hemingway-signature/,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,290.0,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://absolutecigars.com/product/perdomo-reserve-champagne-epicure/,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,245.0,True,
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,Grand Robusto,https://absolutecigars.com/product/my-father-the-judge-grand-robusto/,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,259.0,False,
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,Toro,https://absolutecigars.com/product/my-father-le-bijou-1922-toro/,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,279.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://absolutecigars.com/product/hemingway-classic/,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,290.0,True,
COHIBA||REDDOT|ROBUSTO|ROBUSTO|5x49|CAM|BOX25,Robusto,https://absolutecigars.com/product/cohiba-robusto-cigars/,Cohiba,Red Dot,Cameroon,Robusto,5x49,25,452.0,True,
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|NAT|BOX25,Corona,https://absolutecigars.com/product/padron-1964-corona/,Padron,1964 Anniversary,Natural,Corona,6x42,25,293.0,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://absolutecigars.com/product/hemingway-short-story/,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,234.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://absolutecigars.com/product/hemingway-work-of-art/,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,294.0,True,
ASHTON|ASHTON|VSG|ENCHANTMENT|ENCHANTMENT|5.5x48|ECU|BOX22,Enchantment,https://absolutecigars.com/product/ashton-vsg-enchantment/,Ashton,VSG,Ecuadorian Sun Grown,Enchantment,5.5x48,22,359.0,True,
ASHTON|ASHTON|VSG|SPELLBOUND|SPELLBOUND|6x50|ECU|BOX24,Spellbound,https://absolutecigars.com/product/ashton-vsg-spellbound/,Ashton,VSG,Ecuadorian Sun Grown,Spellbound,6x50,24,425.0,True,
ASHTON|ASHTON|VSG|BELICOSONO.1|BELICOSONO.1|5.5x52|ECU|BOX24,Belicoso No. 1,https://absolutecigars.com/product/ashton-vsg-belicoso-no-1/,Ashton,VSG,Ecuadorian Sun Grown,Belicoso No. 1,5.5x52,24,370.0,True,
COHIBA||REDDOT|CHURCHILL|CHURCHILL|7x49|CAM|BOX25,Churchill,https://absolutecigars.com/product/cohiba-churchill/,Cohiba,Red Dot,Cameroon,Churchill,7x49,25,499.0,True,
OLIVA|OLIVA|SERIEV|BELICOSO|BELICOSO|5.5x54|ECU|BOX24,Belicoso,https://absolutecigars.com/product/oliva-serie-v-belicoso/,Oliva,Serie V,Ecuadorian Habano,Belicoso,5.5x54,24,198.0,True,
OLIVA|OLIVA|SERIEV|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|ECU|BOX24,Double Robusto,https://absolutecigars.com/product/oliva-serie-v-double-robusto/,Oliva,Serie V,Ecuadorian Habano,Double Robusto,5x54,24,204.0,True,
OLIVA|OLIVA|SERIEV|CHURCHILLEXTRA|CHURCHILLEXTRA|7x48|ECU|BOX24,Churchill Extra,https://absolutecigars.com/product/oliva-serie-v-churchill/,Oliva,Serie V,Ecuadorian Habano,Churchill Extra,7x48,24,244.0,True,
OLIVA|OLIVA|SERIEV|DOUBLETORO|DOUBLETORO|6x60|ECU|BOX24,Double Toro,https://absolutecigars.com/product/oliva-serie-v-double-toro/,Oliva,Serie V,Ecuadorian Habano,Double Toro,6x60,24,238.0,True,
OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|ECU|BOX24,Torpedo,https://absolutecigars.com/product/oliva-serie-v-torpedo/,Oliva,Serie V,Ecuadorian Habano,Torpedo,6.5x52,24,230.0,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|ROBUSTO|ROBUSTO|5x50|HON|BOX20,Robusto,https://absolutecigars.com/product/rockey-patel-vintage-1990-robustos/,Rocky Patel,Vintage 1990,Honduran Broadleaf,Robusto,5x50,20,183.0,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|TORO|TORO|6x52|HON|BOX20,Toro,https://absolutecigars.com/product/rocky-patel-vintage-1990-toro/,Rocky Patel,Vintage 1990,Honduran Broadleaf,Toro,6x52,20,192.0,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|TORPEDO|TORPEDO|6.5x52|HON|BOX20,Torpedo,https://absolutecigars.com/product/rocky-patel-vintage-1990-torpedo/,Rocky Patel,Vintage 1990,Honduran Broadleaf,Torpedo,6.5x52,20,195.0,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|CHURCHILL|CHURCHILL|7x48|HON|BOX20,Churchill,https://absolutecigars.com/product/rocky-patel-vintage-1990-churchill/,Rocky Patel,Vintage 1990,Honduran Broadleaf,Churchill,7x48,20,193.0,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|ROBUSTO|ROBUSTO|5x50|ECU|BOX20,Robusto,https://absolutecigars.com/product/rocky-patel-vintage-1992-robusto/,Rocky Patel,Vintage 1992,Ecuadorian Sumatra,Robusto,5x50,20,184.0,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|TORO|TORO|6x52|ECU|BOX20,Toro,https://absolutecigars.com/product/rocky-patel-vintage-1992-toro/,Rocky Patel,Vintage 1992,Ecuadorian Sumatra,Toro,6x52,20,189.0,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|TORPEDO|TORPEDO|6.5x52|ECU|BOX20,Torpedo,https://absolutecigars.com/product/rocky-patel-vintage-1992-torpedo/,Rocky Patel,Vintage 1992,Ecuadorian Sumatra,Torpedo,6.5x52,20,194.0,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|CHURCHILL|CHURCHILL|7x48|ECU|BOX20,Churchill,https://absolutecigars.com/product/rocky-patel-vintage-1992-churchill/,Rocky Patel,Vintage 1992,Ecuadorian Sumatra,Churchill,7x48,20,189.0,True,
MACANUDO|MACANUDO|CAFE|HYDEPARK|HYDEPARK|5.5x49|CT|BOX25,Hyde Park,https://absolutecigars.com/product/macanudo-cafe-hyde-park/,Macanudo,Cafe,Connecticut Shade,Hyde Park,5.5x49,25,239.0,True,
MACANUDO|MACANUDO|CAFE|HAMPTONCOURT|HAMPTONCOURT|5.25x42|CT|BOX25,Hampton Court,https://absolutecigars.com/product/macanudo-cafe-hampton-court/,Macanudo,Cafe,Connecticut Shade,Hampton Court,5.25x42,25,234.0,True,
MACANUDO|MACANUDO|CAFE|DUKEOFDEVON|DUKEOFDEVON|5.5x42|CT|BOX25,Duke of Devon,https://absolutecigars.com/product/macanudo-duke-of-devon/,Macanudo,Cafe,Connecticut Shade,Duke of Devon,5.5x42,25,216.0,True,
MACANUDO|MACANUDO|CAFE|BARONDEROTHSCHILD|BARONDEROTHSCHILD|6.5x42|CT|BOX25,Baron de Rothschild,https://absolutecigars.com/product/macanudo-baron-de-rothschild/,Macanudo,Cafe,Connecticut Shade,Baron de Rothschild,6.5x42,25,230.0,True,
CAO|CAO|FLATHEAD|V554CAMSHAFT|V554CAMSHAFT|5.5x54|CT|BOX24,V554 Camshaft,https://absolutecigars.com/product/cao-flathead-v554-camshaft/,CAO,Flathead,Connecticut Broadleaf,V554 Camshaft,5.5x54,24,210.0,True,
CAO|CAO|FLATHEAD|V450SPARKPLUG|V450SPARKPLUG|4.5x50|CT|BOX24,V450 Sparkplug,https://absolutecigars.com/product/cao-flathead-v450-sparkplug-robusto/,CAO,Flathead,Connecticut Broadleaf,V450 Sparkplug,4.5x50,24,199.0,True,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|ROBUSTO|ROBUSTO|5x54|SAN|BOX25,Robusto,https://absolutecigars.com/product/undercrown-robusto/,Drew Estate,Undercrown Maduro,San Andres,Robusto,5x54,25,191.0,True,
OLIVA|OLIVA|SERIEG|ROBUSTO|ROBUSTO|4.5x50|CAM|BOX25,Robusto,https://absolutecigars.com/product/oliva-g-robusto/,Oliva,Serie G,Cameroon,Robusto,4.5x50,25,159.0,True,
OLIVA|OLIVA|SERIEG|CHURCHILL|CHURCHILL|7x48|CAM|BOX25,Churchill,https://absolutecigars.com/product/oliva-serie-g-churchill/,Oliva,Serie G,Cameroon,Churchill,7x48,25,172.0,True,
OLIVA|OLIVA|SERIEG|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|CAM|BOX25,Double Robusto,https://absolutecigars.com/product/oliva-g-double-robusto/,Oliva,Serie G,Cameroon,Double Robusto,5x54,25,158.0,True,
