cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://iheartcigars.com/products/hemingway-classic-natural?_pos=4&_sid=5f6935bdf&_ss=r,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,260.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://iheartcigars.com/products/hemingway-short-story?_pos=3&_sid=5f6935bdf&_ss=r,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,175.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,Between the Lines,https://iheartcigars.com/products/hemingway-between-the-lines?_pos=1&_sid=5f6935bdf&_ss=r,Arturo Fuente,Hemingway,Cameroon,Between the Lines,4.5x54,25,520.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://iheartcigars.com/products/hemingway-best-seller?_pos=2&_sid=5f6935bdf&_ss=r,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,210.0,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|BELICOSOXXX|BELICOSOXXX|4.625x49|DOM|BOX42,Belicoso XXX,https://iheartcigars.com/products/opusx-belicosos-xxx?_pos=4&_sid=b180f5be7&_ss=r,Arturo Fuente,Opus X,Dominican Rosado,Belicoso XXX,4.625x49,42,1250.0,True,
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://iheartcigars.com/products/vsg-robusto?_pos=1&_sid=4e7bfaa68&_ss=r,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,325.0,True,
ASHTON|ASHTON|VSG|ENCHANTMENT|ENCHANTMENT|5.5x48|ECU|BOX22,Enchantment,https://iheartcigars.com/products/vsg-enchantment?_pos=2&_sid=4e7bfaa68&_ss=r,Ashton,VSG,Ecuadorian Sun Grown,Enchantment,5.5x48,22,380.0,True,
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,Wizard,https://iheartcigars.com/products/vsg-wizard?_pos=3&_sid=4e7bfaa68&_ss=r,Ashton,VSG,Ecuadorian Sun Grown,Wizard,7x52,37,688.0,True,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|ROBUSTO|ROBUSTO|5x54|CON|BOX24,Robusto,https://iheartcigars.com/products/no-9-robusto?_pos=2&_sid=a3f5908e1&_ss=r,Drew Estate,Liga Privada No. 9,Connecticut Broadleaf Oscuro,Robusto,5x54,24,237.6,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://iheartcigars.com/products/10th-anniversary-champagne-epicure?_pos=4&_sid=2e97b3f07&_ss=r,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,275.0,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONX|PERFECXIONX|6.25x48|DOM|BOX32,PerfecXion X,,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion X,6.25x48,32,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX29,Robusto,,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,29,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX29,Super Belicoso,,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,5.5x52,29,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|FUENTEFUENTE|FUENTEFUENTE|5.625x46|DOM|BOX32,Fuente Fuente,,Arturo Fuente,Opus X,Dominican Rosado,Fuente Fuente,5.625x46,32,,,
DIAMONDCROWN|DIAMONDCROWN|JULIUSCAESER|ROBUSTO|ROBUSTO|5x54|ECU|BOX20,Robusto,,Diamond Crown,Julius Caeser,Ecuadorian Habano,Robusto,5x54,20,,,
DIAMONDCROWN|DIAMONDCROWN|JULIUSCAESER|TORO|TORO|6x54|ECU|BOX20,Toro,,Diamond Crown,Julius Caeser,Ecuadorian Habano,Toro,6x54,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONX|PERFECXIONX|6x48|DOM|BOX42,PerfecXion X,,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion X,6x48,42,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|DOUBLELIGERO|CHISEL|CHISEL|6.5x54|MAD|BOX20,Chisel,,La Flor Dominicana,Double Ligero,Maduro,Chisel,6.5x54,20,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|DOUBLELIGERO|CHISEL|CHISEL|6.5x54|ECU|BOX20,Chisel,,La Flor Dominicana,Double Ligero,Ecuadorian Sumatra,Chisel,6.5x54,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX25,Super Belicoso,,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,5.5x52,25,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX10,Robusto,,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,10,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX25,Robusto,,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,25,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX10,Super Belicoso,,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,5.5x52,10,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONX|PERFECXIONX|6x48|DOM|BOX10,PerfecXion X,,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion X,6x48,10,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|ANDALUSIANBULL|TORO|TORO|6.5x58|ECU|BOX20,Toro,,La Flor Dominicana,Andalusian Bull,Ecuadorian Habano,Toro,6.5x58,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PETITLANCERO|PETITLANCERO|6.25x39|DOM|BOX32,Petit Lancero,,Arturo Fuente,Opus X,Dominican Rosado,Petit Lancero,6.25x39,32,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.2|PERFECXIONNO.2|6.375x52|DOM|BOX29,PerfecXion No. 2,,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion No. 2,6.375x52,29,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|DOUBLELIGERO|DIGGER|DIGGER|6x60|ECU|BOX20,Digger,,La Flor Dominicana,Double Ligero,Ecuadorian Sumatra,Digger,6x60,20,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|AIRBENDER|VALIENTE|VALIENTE|7.5x54|ECU|BOX20,Valiente,,La Flor Dominicana,Air Bender,Ecuadorian Connecticut,Valiente,7.5x54,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|DOUBLECORONA|DOUBLECORONA|7.625x49|DOM|BOX32,Double Corona,,Arturo Fuente,Opus X,Dominican Rosado,Double Corona,7.625x49,32,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|RESERVAD'CHATEAU|RESERVAD'CHATEAU|7x48|DOM|BOX32,Reserva d'Chateau,,Arturo Fuente,Opus X,Dominican Rosado,Reserva d'Chateau,7x48,32,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|AIRBENDER|GUERRERO|GUERRERO|6.5x56|ECU|BOX20,Guerrero,,La Flor Dominicana,Air Bender,Ecuadorian Connecticut,Guerrero,6.5x56,20,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|DOUBLELIGERO|DIGGER|DIGGER|6x60|MAD|BOX20,Digger,,La Flor Dominicana,Double Ligero,Maduro,Digger,6x60,20,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|AIRBENDER|MATATAN|MATATAN|6.5x54|ECU|BOX20,Matatan,,La Flor Dominicana,Air Bender,Ecuadorian Connecticut,Matatan,6.5x54,20,,,
