cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://pyramidcigars.com/products/padron-1964-principe-maduro?_pos=2&_sid=0124eaec3&_ss=r,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,344.99,True,
CAO|CAO|FLATHEAD|V660CARB|V660CARB|6x60|CT|BOX24,V660 Carb,https://pyramidcigars.com/products/cao-flathead-v660-carb?variant=45271346446617,CAO,Flathead,Connecticut Broadleaf,V660 Carb,6x60,24,199.99,True,
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,Grand Robusto,https://pyramidcigars.com/products/my-father-judge-gran-robusto?variant=45232830939417,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,219.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://pyramidcigars.com/products/arturo-fuente-hemingway-classic-1?variant=45271024042265,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,239.99,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,Work of Art,https://pyramidcigars.com/products/arturo-fuente-hemingway-work-of-art-maduro?variant=50533924667673,Arturo Fuente,Hemingway,Maduro,Work of Art,4.875x60,25,219.99,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://pyramidcigars.com/products/arturo-fuente-hemingway-short-story-1?variant=45271028597017,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,144.99,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,Between the Lines,https://pyramidcigars.com/products/arturo-fuente-hemingway-between-the-lines-2?_pos=7&_sid=c47cf5d1d&_ss=r,Arturo Fuente,Hemingway,Cameroon,Between the Lines,4.5x54,25,720.0,False,
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,Toro,https://pyramidcigars.com/products/my-father-cigars-le-bijou-1922-toro?variant=45270433431833,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,199.99,True,
DIAMONDCROWN|DIAMONDCROWN|JULIUSCAESER|TORO|TORO|6x54|ECU|BOX20,Toro,https://pyramidcigars.com/products/diamond-crown-julius-caeser-toro?variant=45269822701849,Diamond Crown,Julius Caeser,Ecuadorian Habano,Toro,6x54,20,270.0,False,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|CHURCHILL|CHURCHILL|7x54|ECU|BOX25,Churchill,https://pyramidcigars.com/products/perdomo-reserve-10th-anniversary-champagne-churchill-7-0-x-54,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Churchill,7x54,25,235.29,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|CORONA|CORONA|5.5x42|ECU|BOX25,Corona,https://pyramidcigars.com/products/perdomo-reserve-10th-anniversary-champagne-corona-extra-5-6-x-46,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Corona,5.5x42,25,203.61,True,
MYFATHER|MYFATHER|NO.2|BELICOSO|BELICOSO|5.625x55|NIC|BOX23,Belicoso,https://pyramidcigars.com/products/my-father-no-2-belicoso-5-2-x-54,My Father,No. 2,Nicaraguan Habano,Belicoso,5.625x55,23,225.72,True,
