cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://www.2guyscigars.com/padron-ani-diplomatico-mad-160135/,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,454.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://www.2guyscigars.com/af-hemingway-best-seller-010112/,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,243.99,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://www.2guyscigars.com/perdomo-10th-champ-epicure-164004/,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,249.99,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,Exclusivo,https://www.2guyscigars.com/padron-ani-exclusivo-160138/,Padron,1964 Anniversary,Natural,Exclusivo,5.5x50,25,396.99,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,Exclusivo,https://www.2guyscigars.com/padron-ani-exclusivo-mad-160139/,Padron,1964 Anniversary,Maduro,Exclusivo,5.5x50,25,396.99,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NAT|BOX25,Principe,https://www.2guyscigars.com/padron-ani-principe-160170/,Padron,1964 Anniversary,Natural,Principe,4.5x46,25,339.99,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://www.2guyscigars.com/padron-ani-principe-mad-160171/,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,339.99,True,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|NAT|BOX24,No. 9,https://www.2guyscigars.com/padron-1926-no-9-160205/,Padron,1926 Serie,Natural,No. 9,5.25x56,24,574.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.2guyscigars.com/af-hemingway-classic-010170/,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,336.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://www.2guyscigars.com/af-hemingway-signature-010178/,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,308.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.2guyscigars.com/af-hemingway-short-story-010182/,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,208.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|MAD|BOX25,Short Story,https://www.2guyscigars.com/af-hemingway-short-story-m-010183/,Arturo Fuente,Hemingway,Maduro,Short Story,4x49,25,208.99,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,Work of Art,https://www.2guyscigars.com/af-hemingway-work-of-art-m-010237/,Arturo Fuente,Hemingway,Maduro,Work of Art,4.875x60,25,327.99,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,Between the Lines,https://www.2guyscigars.com/af-hemingway-between-lines-010276/,Arturo Fuente,Hemingway,Cameroon,Between the Lines,4.5x54,25,511.99,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.4|PERFECXIONNO.4|5.1875x43|DOM|BOX42,PerfecXion No. 4,https://www.2guyscigars.com/af-opus-x-perfecion-4-010260/,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion No. 4,5.1875x43,42,795.99,False,
